target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
112_30_dither,2026-07-19 00:17:18.123,2026-07-19 00:18:58.123,1.666666666666634,273.68853217275495,-19.870129870129876,{'dither': True},61240.0120153125,1,18.245902144850334
114_32_dither,2026-07-19 00:18:58.123,2026-07-19 00:20:38.123,1.666666666666634,272.96039022184937,-15.194805194805197,{'dither': True},61240.013172719904,1,18.197359348123296
112_32_dither,2026-07-19 00:20:38.123,2026-07-19 00:22:18.123,1.666666666666634,268.1281754567487,-15.194805194805197,{'dither': True},61240.01433012731,1,17.875211697116583
114_34_dither,2026-07-19 00:22:18.123,2026-07-19 00:23:58.123,1.666666666666634,267.5241486111111,-10.519480519480515,{'dither': True},61240.01548753472,1,17.834943240740746
116_34_dither,2026-07-19 00:23:58.123,2026-07-19 00:25:38.123,1.666666666666634,272.2609907163743,-10.519480519480515,{'dither': True},61240.01664494213,1,18.150732714424958
Unused Time,2026-07-19 00:25:38.123,2026-07-19 00:27:18.123,1.6666666666669538,,,,61240.01780234954,1,
92_28,2026-07-19 00:27:18.123,2026-07-19 00:28:58.123,1.666666666666634,234.8936170212766,-24.545454545454543,{'dither': False},61240.01895975695,2,15.659574468085111
94_28,2026-07-19 00:28:58.123,2026-07-19 00:30:38.123,1.666666666666634,239.99999999999997,-24.545454545454543,{'dither': False},61240.02011716435,2,16.0
96_28,2026-07-19 00:30:38.123,2026-07-19 00:32:18.123,1.666666666666634,245.10638297872345,-24.545454545454543,{'dither': False},61240.02127457176,2,16.3404255319149
98_28,2026-07-19 00:32:18.123,2026-07-19 00:33:58.123,1.666666666666634,250.21276595744683,-24.545454545454543,{'dither': False},61240.02243197917,2,16.68085106382979
100_28,2026-07-19 00:33:58.123,2026-07-19 00:35:38.123,1.666666666666634,255.3191489361702,-24.545454545454543,{'dither': False},61240.023589386576,2,17.021276595744684
106_30,2026-07-19 00:35:38.123,2026-07-19 00:37:18.123,1.666666666666634,261.36986301369865,-19.870129870129876,{'dither': False},61240.024746793984,2,17.42465753424658
104_30,2026-07-19 00:37:18.123,2026-07-19 00:38:58.123,1.666666666666634,256.43835616438355,-19.870129870129876,{'dither': False},61240.025904201386,2,17.095890410958905
