target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number,ra_hr
50_16,2026-06-08 01:22:41.964,2026-06-08 01:24:21.964,1.666666666666714,187.5,-52.5974025974026,{'dither': False},4,12.500000000000002
48_16,2026-06-08 01:24:21.964,2026-06-08 01:26:01.964,1.666666666666714,180.0,-52.5974025974026,{'dither': False},4,12.000000000000002
46_16,2026-06-08 01:26:01.964,2026-06-08 01:27:41.964,1.666666666666714,172.49999999999997,-52.5974025974026,{'dither': False},4,11.5
50_18,2026-06-08 01:27:41.964,2026-06-08 01:29:21.964,1.666666666666714,171.42857142857144,-47.922077922077925,{'dither': False},4,11.428571428571432
52_18,2026-06-08 01:29:21.964,2026-06-08 01:31:01.964,1.666666666666714,178.2857142857143,-47.922077922077925,{'dither': False},4,11.88571428571429
54_18,2026-06-08 01:31:01.964,2026-06-08 01:32:41.964,1.666666666666714,185.1428571428571,-47.922077922077925,{'dither': False},4,12.342857142857143
56_18,2026-06-08 01:32:41.964,2026-06-08 01:34:21.964,1.666666666666714,192.00000000000003,-47.922077922077925,{'dither': False},4,12.800000000000004
58_20,2026-06-08 01:34:21.964,2026-06-08 01:36:01.964,1.666666666666714,183.1578947368421,-43.24675324675325,{'dither': False},4,12.210526315789476
56_20,2026-06-08 01:36:01.964,2026-06-08 01:37:41.964,1.666666666666714,176.8421052631579,-43.24675324675325,{'dither': False},4,11.789473684210527
54_20,2026-06-08 01:37:41.964,2026-06-08 01:39:21.964,1.666666666666714,170.52631578947367,-43.24675324675325,{'dither': False},4,11.36842105263158
52_20,2026-06-08 01:39:21.964,2026-06-08 01:41:01.964,1.666666666666714,164.21052631578948,-43.24675324675325,{'dither': False},4,10.947368421052634
54_22,2026-06-08 01:41:01.964,2026-06-08 01:42:41.964,1.666666666666714,159.34426229508196,-38.57142857142857,{'dither': False},4,10.622950819672132
56_22,2026-06-08 01:42:41.964,2026-06-08 01:44:21.964,1.666666666666714,165.24590163934425,-38.57142857142857,{'dither': False},4,11.016393442622952
58_22,2026-06-08 01:44:21.964,2026-06-08 01:46:01.964,1.6666666666659147,171.14754098360655,-38.57142857142857,{'dither': False},4,11.409836065573773
42_14_dither,2026-06-08 01:46:01.964,2026-06-08 01:47:41.964,1.666666666666714,173.33810209948322,-57.27272727272727,{'dither': True},5,11.555873473298885
44_14_dither,2026-06-08 01:47:41.964,2026-06-08 01:49:21.964,1.666666666666714,181.71019512273904,-57.27272727272727,{'dither': True},5,12.114013008182605
46_14_dither,2026-06-08 01:49:21.964,2026-06-08 01:51:01.964,1.666666666666714,190.08228814599488,-57.27272727272727,{'dither': True},5,12.672152543066328
52_16_dither,2026-06-08 01:51:01.964,2026-06-08 01:52:41.964,1.666666666666714,192.5241486111111,-52.5974025974026,{'dither': True},5,12.834943240740742
50_16_dither,2026-06-08 01:52:41.964,2026-06-08 01:54:21.964,1.666666666666714,185.02414861111112,-52.5974025974026,{'dither': True},5,12.334943240740744
48_16_dither,2026-06-08 01:54:21.964,2026-06-08 01:56:01.964,1.666666666666714,177.52414861111112,-52.5974025974026,{'dither': True},5,11.834943240740744
46_16_dither,2026-06-08 01:56:01.964,2026-06-08 01:57:41.964,1.666666666666714,170.0241486111111,-52.5974025974026,{'dither': True},5,11.334943240740742
50_18_dither,2026-06-08 01:57:41.964,2026-06-08 01:59:21.964,1.666666666666714,168.95272003968256,-47.922077922077925,{'dither': True},5,11.263514669312173
52_18_dither,2026-06-08 01:59:21.964,2026-06-08 02:01:01.964,1.666666666666714,175.80986289682542,-47.922077922077925,{'dither': True},5,11.72065752645503
54_18_dither,2026-06-08 02:01:01.964,2026-06-08 02:02:41.964,1.666666666666714,182.66700575396823,-47.922077922077925,{'dither': True},5,12.177800383597884
56_18_dither,2026-06-08 02:02:41.964,2026-06-08 02:04:21.964,1.666666666666714,189.52414861111112,-47.922077922077925,{'dither': True},5,12.634943240740743
58_20_dither,2026-06-08 02:04:21.964,2026-06-08 02:06:01.964,1.666666666666714,180.68204334795325,-43.24675324675325,{'dither': True},5,12.04546955653022
56_20_dither,2026-06-08 02:06:01.964,2026-06-08 02:07:41.964,1.666666666666714,174.366253874269,-43.24675324675325,{'dither': True},5,11.62441692495127
54_20_dither,2026-06-08 02:07:41.964,2026-06-08 02:09:21.964,1.666666666666714,168.0504644005848,-43.24675324675325,{'dither': True},5,11.20336429337232
52_20_dither,2026-06-08 02:09:21.964,2026-06-08 02:11:01.964,1.666666666666714,161.7346749269006,-43.24675324675325,{'dither': True},5,10.782311661793376
54_22_dither,2026-06-08 02:11:01.964,2026-06-08 02:12:41.964,1.666666666666714,156.86841090619308,-38.57142857142857,{'dither': True},5,10.457894060412874
56_22_dither,2026-06-08 02:12:41.964,2026-06-08 02:14:21.964,1.666666666666714,162.77005025045537,-38.57142857142857,{'dither': True},5,10.851336683363693
58_22_dither,2026-06-08 02:14:21.964,2026-06-08 02:16:01.964,1.6666666666659147,168.67168959471766,-38.57142857142857,{'dither': True},5,11.244779306314513
54_16,2026-06-08 02:16:01.964,2026-06-08 02:17:41.964,1.666666666666714,202.49999999999997,-52.5974025974026,{'dither': False},6,13.5
56_16,2026-06-08 02:17:41.964,2026-06-08 02:19:21.964,1.666666666666714,210.0,-52.5974025974026,{'dither': False},6,14.000000000000004
58_16,2026-06-08 02:19:21.964,2026-06-08 02:21:01.964,1.666666666666714,217.49999999999997,-52.5974025974026,{'dither': False},6,14.500000000000002
