ra_deg,dec_deg,Field Name,l,b,program_id,last_scheduled_mjd
263.4146341463415,-75.97402597402598,30_6,317.1762600570092,-21.75157909866986,1,0.0
280.9756097560976,-75.97402597402598,32_6,318.54024510574754,-25.804273456381264,1,0.0
298.5365853658537,-75.97402597402598,34_6,318.57035969701275,-30.04462668550643,1,0.0
316.0975609756098,-75.97402597402598,36_6,317.10184957720713,-34.09854056508634,1,0.0
333.6585365853659,-75.97402597402598,38_6,314.0731908364974,-37.5563683281285,1,0.0
351.219512195122,-75.97402597402598,40_6,309.63276044837943,-40.00732688500901,1,0.0
0.0,-71.2987012987013,0_8,308.748947861626,-45.24410232566306,1,0.0
13.584905660377359,-71.2987012987013,2_8,302.598133683128,-45.82767044980736,1,0.0
27.169811320754718,-71.2987012987013,4_8,296.48469405489516,-45.1061557932055,1,0.0
40.75471698113208,-71.2987012987013,6_8,291.0632022421277,-43.16584564076371,1,0.0
54.339622641509436,-71.2987012987013,8_8,286.78350268873083,-40.217983575554456,1,0.0
67.9245283018868,-71.2987012987013,10_8,283.8363685930544,-36.53544757497405,1,0.0
81.50943396226415,-71.2987012987013,12_8,282.2191882104471,-32.39812043146481,1,0.0
95.09433962264151,-71.2987012987013,14_8,281.83008501140955,-28.064492858249928,1,0.0
108.67924528301887,-71.2987012987013,16_8,282.5342838435983,-23.76421627048633,1,0.0
122.26415094339623,-71.2987012987013,18_8,284.195039947923,-19.700380315863566,1,0.0
135.8490566037736,-71.2987012987013,20_8,286.6805830175822,-16.053458480334793,1,0.0
149.43396226415095,-71.2987012987013,22_8,289.85907683690505,-12.982921932184315,1,0.0
163.0188679245283,-71.2987012987013,24_8,293.5899154339275,-10.625193421756162,1,0.0
176.60377358490567,-71.2987012987013,26_8,297.71685294587417,-9.088307245180614,1,0.0
190.18867924528303,-71.2987012987013,28_8,302.06646902605104,-8.444908070457421,1,0.0
203.77358490566039,-71.2987012987013,30_8,306.4531884009672,-8.726034728951957,1,0.0
217.35849056603774,-71.2987012987013,32_8,310.68922355940356,-9.918076334407917,1,0.0
230.9433962264151,-71.2987012987013,34_8,314.595435852744,-11.964136164256391,1,0.0
244.52830188679246,-71.2987012987013,36_8,318.00864459476725,-14.769244546313532,1,0.0
258.1132075471698,-71.2987012987013,38_8,320.7826751570829,-18.20736413351773,1,0.0
271.6981132075472,-71.2987012987013,40_8,322.7832797558793,-22.12763678445451,1,0.0
285.28301886792457,-71.2987012987013,42_8,323.8796150578224,-26.357845623581802,1,0.0
298.8679245283019,-71.2987012987013,44_8,323.93695581011394,-30.704189360466774,1,0.0
312.45283018867923,-71.2987012987013,46_8,322.8176958185329,-34.947955171173966,1,0.0
326.0377358490566,-71.2987012987013,48_8,320.4012343115497,-38.84187511628357,1,0.0
339.62264150943395,-71.2987012987013,50_8,316.6356268907575,-42.11250214803307,1,0.0
353.20754716981133,-71.2987012987013,52_8,311.62424792086574,-44.47907082416219,1,0.0
0.0,-66.62337662337663,0_10,310.7812350477365,-49.71361134049511,1,0.0
11.25,-66.62337662337663,2_10,303.93564301822465,-50.492327280109784,1,0.0
22.5,-66.62337662337663,4_10,296.9913981608577,-50.057741623524215,1,0.0
33.75,-66.62337662337663,6_10,290.6136467420523,-48.45763687091363,1,0.0
45.0,-66.62337662337663,8_10,285.29021953674066,-45.85348266615938,1,0.0
56.25,-66.62337662337663,10_10,281.2469060619755,-42.46703493334897,1,0.0
67.5,-66.62337662337663,12_10,278.4985946820151,-38.52890226543859,1,0.0
78.75,-66.62337662337663,14_10,276.9468219750247,-34.249627207188915,1,0.0
90.0,-66.62337662337663,16_10,276.45620304554035,-29.81139481865093,1,0.0
101.25,-66.62337662337663,18_10,276.89490227694733,-25.370709985043163,1,0.0
112.5,-66.62337662337663,20_10,278.14901140927867,-21.064512471604466,1,0.0
123.74999999999999,-66.62337662337663,22_10,280.12286658640465,-17.015899644835734,1,0.0
135.0,-66.62337662337663,24_10,282.7330530598644,-13.337945992606778,1,0.0
146.25,-66.62337662337663,26_10,285.90019779278015,-10.135153648807803,1,0.0
157.5,-66.62337662337663,28_10,289.540798758232,-7.5025108195706105,1,0.0
168.75,-66.62337662337663,30_10,293.56070723260746,-5.522444177807884,1,0.0
180.0,-66.62337662337663,32_10,297.85168190124824,-4.260327894102502,1,0.0
191.25,-66.62337662337663,34_10,302.2920207961417,-3.759628287959666,1,0.0
202.5,-66.62337662337663,36_10,306.7513073536443,-4.038017177828481,1,0.0
213.75,-66.62337662337663,38_10,311.0979511264483,-5.085637852202609,1,0.0
225.0,-66.62337662337663,40_10,315.2071129632595,-6.866083315710855,1,0.0
236.25,-66.62337662337663,42_10,318.9664450507077,-9.319768762739486,1,0.0
247.49999999999997,-66.62337662337663,44_10,322.2779526485218,-12.368648592381271,1,0.0
258.75,-66.62337662337663,46_10,325.0556434366693,-15.920938273196674,1,0.0
270.0,-66.62337662337663,48_10,327.2197533417268,-19.874661306327425,1,0.0
281.25,-66.62337662337663,50_10,328.68889419222296,-24.119237251016163,1,0.0
292.5,-66.62337662337663,52_10,329.37167076638497,-28.53472664610526,1,0.0
303.75,-66.62337662337663,54_10,329.1597458406397,-32.98866729951572,1,0.0
315.0,-66.62337662337663,56_10,327.9257540197788,-37.33080546286266,1,0.0
326.25,-66.62337662337663,58_10,325.53259022342917,-41.386833896119256,1,0.0
337.5,-66.62337662337663,60_10,321.8650566541919,-44.95413921476474,1,0.0
348.75,-66.62337662337663,62_10,316.8958224720345,-47.80596666270741,1,0.0
0.0,-61.94805194805195,0_12,313.2241140076357,-54.14036728964067,1,0.0
9.6,-61.94805194805195,2_12,305.6113910400873,-55.1123182743335,1,0.0
19.2,-61.94805194805195,4_12,297.7466860251659,-54.92412871138418,1,0.0
28.799999999999997,-61.94805194805195,6_12,290.3621672272288,-53.59655268327023,1,0.0
38.4,-61.94805194805195,8_12,284.02438930564585,-51.26541073689923,1,0.0
48.0,-61.94805194805195,10_12,279.00597196191063,-48.13082138496276,1,0.0
57.599999999999994,-61.94805194805195,12_12,275.3293370922239,-44.40315747283857,1,0.0
67.19999999999999,-61.94805194805195,14_12,272.88003858598694,-40.2713502814134,1,0.0
76.8,-61.94805194805195,16_12,271.49967672371105,-35.89348436828635,1,0.0
86.39999999999999,-61.94805194805195,18_12,271.0359528076232,-31.399518766000632,1,0.0
96.0,-61.94805194805195,20_12,271.3614858315515,-26.897983108990996,1,0.0
105.6,-61.94805194805195,22_12,272.37641859337066,-22.48267890612242,1,0.0
115.19999999999999,-61.94805194805195,24_12,274.00424461681166,-18.238030208038413,1,0.0
124.8,-61.94805194805195,26_12,276.185369017648,-14.24282922522034,1,0.0
134.39999999999998,-61.94805194805195,28_12,278.8702102896754,-10.572442053137443,1,0.0
144.0,-61.94805194805195,30_12,282.0124974353326,-7.299566450234336,1,0.0
153.6,-61.94805194805195,32_12,285.5631080539313,-4.493607273385449,1,0.0
163.2,-61.94805194805195,34_12,289.4648871396215,-2.218765814974305,1,0.0
172.79999999999998,-61.94805194805195,36_12,293.649097057952,-0.5310714296288395,1,0.0
182.39999999999998,-61.94805194805195,38_12,298.0342333897295,0.5251943058603984,1,0.0
192.0,-61.94805194805195,40_12,302.52769652951787,0.9209972878179985,1,0.0
201.59999999999997,-61.94805194805195,42_12,307.03017631341476,0.6451771176928361,1,0.0
211.2,-61.94805194805195,44_12,311.4417804161054,-0.2944723514587982,1,0.0
220.79999999999998,-61.94805194805195,46_12,315.6683176152987,-1.8719617951892715,1,0.0
230.39999999999998,-61.94805194805195,48_12,319.6260890765337,-4.045497313288406,1,0.0
239.99999999999997,-61.94805194805195,50_12,323.24407950255124,-6.760882324020076,1,0.0
249.6,-61.94805194805195,52_12,326.4632618446235,-9.955135700886556,1,0.0
259.19999999999993,-61.94805194805195,54_12,329.23341875634117,-13.559609255272166,1,0.0
268.79999999999995,-61.94805194805195,56_12,331.508200215387,-17.502110065837353,1,0.0
278.4,-61.94805194805195,58_12,333.23909890807045,-21.707764788760876,1,0.0
288.0,-61.94805194805195,60_12,334.36881952836075,-26.098513960161128,1,0.0
297.59999999999997,-61.94805194805195,62_12,334.82438428700294,-30.591171371649505,1,0.0
307.2,-61.94805194805195,64_12,334.51052765898953,-35.09396171583003,1,0.0
316.8,-61.94805194805195,66_12,333.3048908579143,-39.501454462704736,1,0.0
326.4,-61.94805194805195,68_12,331.05889270117893,-43.68805203884785,1,0.0
335.99999999999994,-61.94805194805195,70_12,327.61267227682225,-47.50110163169595,1,0.0
345.59999999999997,-61.94805194805195,72_12,322.838342034122,-50.756993858804435,1,0.0
355.2,-61.94805194805195,74_12,316.72531314270464,-53.24761863752135,1,0.0
0.0,-57.27272727272727,0_14,316.24824812613343,-58.50587370459004,1,0.0
