target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number
37_19,2026-04-25 02:23:21.715,2026-04-25 02:25:01.715,1.666666666666714,121.0909090909091 deg,-45.58441558441559 deg,{},5
39_21,2026-04-25 02:25:01.715,2026-04-25 02:26:41.715,1.666666666666714,118.98305084745763 deg,-40.909090909090914 deg,{},5
TransitionBlock,2026-04-25 02:26:41.715,2026-04-25 02:26:43.495,0.029653587129487846,,,[],5
31_15,2026-04-25 02:26:43.495,2026-04-25 02:28:23.495,1.666666666666714,122.63736263736264 deg,-54.935064935064936 deg,{},5
Unused Time,2026-04-25 02:28:23.495,2026-04-25 02:34:52.311,6.480267141438496,,,,5
36_20,2026-04-25 02:34:52.311,2026-04-25 02:36:32.311,1.666666666666714,113.6842105263158 deg,-43.24675324675325 deg,{},6
38_22,2026-04-25 02:36:32.311,2026-04-25 02:38:12.311,1.666666666666714,112.1311475409836 deg,-38.57142857142857 deg,{},6
38_20,2026-04-25 02:38:12.311,2026-04-25 02:39:52.311,1.666666666666714,120.0 deg,-43.24675324675325 deg,{},6
TransitionBlock,2026-04-25 02:39:52.311,2026-04-25 02:39:53.736,0.023752370908045606,,,[],6
40_24,2026-04-25 02:39:53.736,2026-04-25 02:41:33.736,1.666666666666714,111.6279069767442 deg,-33.896103896103895 deg,{},6
40_22,2026-04-25 02:41:33.736,2026-04-25 02:43:13.736,1.666666666666714,118.03278688524588 deg,-38.57142857142857 deg,{},6
TransitionBlock,2026-04-25 02:43:13.736,2026-04-25 02:43:15.003,0.021118960402866094,,,[],6
36_18,2026-04-25 02:43:15.003,2026-04-25 02:44:55.003,1.666666666666714,123.42857142857144 deg,-47.922077922077925 deg,{},6
TransitionBlock,2026-04-25 02:44:55.003,2026-04-25 02:44:56.851,0.030793329405245373,,,[],6
42_24,2026-04-25 02:44:56.851,2026-04-25 02:46:36.851,1.666666666666714,117.2093023255814 deg,-33.896103896103895 deg,{},6
TransitionBlock,2026-04-25 02:46:36.851,2026-04-25 02:46:38.318,0.024453280171634617,,,[],6
40_20,2026-04-25 02:46:38.318,2026-04-25 02:48:18.318,1.666666666666714,126.3157894736842 deg,-43.24675324675325 deg,{},6
42_22,2026-04-25 02:48:18.318,2026-04-25 02:49:58.318,1.666666666666714,123.9344262295082 deg,-38.57142857142857 deg,{},6
TransitionBlock,2026-04-25 02:49:58.318,2026-04-25 02:50:00.098,0.029671406042552917,,,[],6
34_16,2026-04-25 02:50:00.098,2026-04-25 02:51:40.098,1.666666666666714,127.5 deg,-52.5974025974026 deg,{},6
30_14,2026-04-25 02:51:40.098,2026-04-25 02:53:20.098,1.666666666666714,125.58139534883723 deg,-57.27272727272727 deg,{},6
TransitionBlock,2026-04-25 02:53:20.098,2026-04-25 02:53:21.320,0.020358279287968628,,,[],6
38_18,2026-04-25 02:53:21.320,2026-04-25 02:55:01.320,1.666666666666714,130.2857142857143 deg,-47.922077922077925 deg,{},6
TransitionBlock,2026-04-25 02:55:01.320,2026-04-25 02:55:03.208,0.03147783670840454,,,[],6
44_24,2026-04-25 02:55:03.208,2026-04-25 02:56:43.208,1.666666666666714,122.7906976744186 deg,-33.896103896103895 deg,{},6
Unused Time,2026-04-25 02:56:43.208,2026-04-25 03:04:52.311,8.151707870406053,,,,6
41_23,2026-04-25 03:04:52.311,2026-04-25 03:06:32.311,1.666666666666714,117.14285714285715 deg,-36.23376623376624 deg,{},7
41_21,2026-04-25 03:06:32.311,2026-04-25 03:08:12.311,1.666666666666714,125.08474576271186 deg,-40.909090909090914 deg,{},7
43_23,2026-04-25 03:08:12.311,2026-04-25 03:09:52.311,1.666666666666714,122.85714285714286 deg,-36.23376623376624 deg,{},7
TransitionBlock,2026-04-25 03:09:52.311,2026-04-25 03:09:53.563,0.02087421534696432,,,[],7
39_19,2026-04-25 03:09:53.563,2026-04-25 03:11:33.563,1.666666666666714,127.63636363636364 deg,-45.58441558441559 deg,{},7
35_17,2026-04-25 03:11:33.563,2026-04-25 03:13:13.563,1.666666666666714,124.75247524752476 deg,-50.259740259740255 deg,{},7
TransitionBlock,2026-04-25 03:13:13.563,2026-04-25 03:13:14.859,0.021602742783741746,,,[],7
43_21,2026-04-25 03:13:14.859,2026-04-25 03:14:54.859,1.666666666666714,131.1864406779661 deg,-40.909090909090914 deg,{},7
TransitionBlock,2026-04-25 03:14:54.859,2026-04-25 03:14:56.361,0.025029669205576255,,,[],7
45_25,2026-04-25 03:14:56.361,2026-04-25 03:16:36.361,1.666666666666714,121.80451127819548 deg,-31.558441558441565 deg,{},7
45_23,2026-04-25 03:16:36.361,2026-04-25 03:18:16.361,1.666666666666714,128.57142857142858 deg,-36.23376623376624 deg,{},7
TransitionBlock,2026-04-25 03:18:16.361,2026-04-25 03:18:18.140,0.029642811089267695,,,[],7
37_17,2026-04-25 03:18:18.140,2026-04-25 03:19:58.140,1.666666666666714,131.88118811881188 deg,-50.259740259740255 deg,{},7
41_19,2026-04-25 03:19:58.140,2026-04-25 03:21:38.140,1.666666666666714,134.1818181818182 deg,-45.58441558441559 deg,{},7
TransitionBlock,2026-04-25 03:21:38.140,2026-04-25 03:21:40.019,0.03131577778676231,,,[],7
47_25,2026-04-25 03:21:40.019,2026-04-25 03:23:20.019,1.666666666666714,127.21804511278197 deg,-31.558441558441565 deg,{},7
TransitionBlock,2026-04-25 03:23:20.019,2026-04-25 03:23:22.956,0.048951829205527986,,,[],7
33_15,2026-04-25 03:23:22.956,2026-04-25 03:25:02.956,1.666666666666714,130.54945054945054 deg,-54.935064935064936 deg,{},7
27_13,2026-04-25 03:25:02.956,2026-04-25 03:26:42.956,1.666666666666714,120.0 deg,-59.6103896103896 deg,{},7
TransitionBlock,2026-04-25 03:26:42.956,2026-04-25 03:26:46.098,0.0523696335247692,,,[],7
47_23,2026-04-25 03:26:46.098,2026-04-25 03:28:26.098,1.666666666666714,134.28571428571428 deg,-36.23376623376624 deg,{},7
45_21,2026-04-25 03:28:26.098,2026-04-25 03:30:06.098,1.666666666666714,137.28813559322032 deg,-40.909090909090914 deg,{},7
Unused Time,2026-04-25 03:30:06.098,2026-04-25 03:34:52.311,4.770213321056733,,,,7
46_24,2026-04-25 03:34:52.311,2026-04-25 03:36:32.311,1.666666666666714,128.3720930232558 deg,-33.896103896103895 deg,{},8
44_22,2026-04-25 03:36:32.311,2026-04-25 03:38:12.311,1.666666666666714,129.8360655737705 deg,-38.57142857142857 deg,{},8
42_20,2026-04-25 03:38:12.311,2026-04-25 03:39:52.311,1.666666666666714,132.6315789473684 deg,-43.24675324675325 deg,{},8
TransitionBlock,2026-04-25 03:39:52.311,2026-04-25 03:39:53.487,0.019599418327818086,,,[],8
48_24,2026-04-25 03:39:53.487,2026-04-25 03:41:33.487,1.666666666666714,133.953488372093 deg,-33.896103896103895 deg,{},8
50_26,2026-04-25 03:41:33.487,2026-04-25 03:43:13.487,1.666666666666714,132.3529411764706 deg,-29.220779220779225 deg,{},8
TransitionBlock,2026-04-25 03:43:13.487,2026-04-25 03:43:14.707,0.020337575897926286,,,[],8
46_22,2026-04-25 03:43:14.707,2026-04-25 03:44:54.707,1.666666666666714,135.73770491803276 deg,-38.57142857142857 deg,{},8
TransitionBlock,2026-04-25 03:44:54.707,2026-04-25 03:44:56.488,0.029689999325466232,,,[],8
