target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
icrs,2025-12-12 01:38:23.315,2025-12-12 01:38:58.315,0.5833333333333179,62.4 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:38:58.315,2025-12-12 01:39:29.134,0.5136407333415072,,,[]
icrs,2025-12-12 01:39:29.134,2025-12-12 01:40:04.134,0.5833333333333179,58.378378378378386 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 01:40:04.134,2025-12-12 01:40:40.329,0.6032495141468175,,,[]
icrs,2025-12-12 01:40:40.329,2025-12-12 01:41:15.329,0.5833333333333179,60.77922077922078 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 01:41:15.329,2025-12-12 01:41:24.309,0.1496725180443903,,,[]
icrs,2025-12-12 01:41:24.309,2025-12-12 01:41:59.309,0.5833333333333179,63.6734693877551 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:41:59.309,2025-12-12 01:42:07.812,0.14171322408719433,,,[]
icrs,2025-12-12 01:42:07.812,2025-12-12 01:42:42.812,0.5833333333333179,65.21739130434783 deg,-32.22222222222223 deg,{}
TransitionBlock,2025-12-12 01:42:42.812,2025-12-12 01:42:54.004,0.18654468498665366,,,[]
icrs,2025-12-12 01:42:54.004,2025-12-12 01:43:29.004,0.5833333333333179,63.87096774193549 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:43:29.004,2025-12-12 01:43:45.712,0.27845434107522493,,,[]
icrs,2025-12-12 01:43:45.712,2025-12-12 01:44:20.712,0.5833333333333179,65.0 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 01:44:20.712,2025-12-12 01:44:34.605,0.2315510731690118,,,[]
icrs,2025-12-12 01:44:34.605,2025-12-12 01:45:09.605,0.5833333333333179,64.6875 deg,-38.888888888888886 deg,{}
TransitionBlock,2025-12-12 01:45:09.605,2025-12-12 01:45:15.383,0.09630323054498291,,,[]
icrs,2025-12-12 01:45:15.383,2025-12-12 01:45:50.383,0.5833333333333179,63.0 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:45:50.383,2025-12-12 01:45:59.182,0.1466493703045657,,,[]
icrs,2025-12-12 01:45:59.182,2025-12-12 01:46:34.182,0.5833333333333179,65.95419847328245 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:46:34.182,2025-12-12 01:46:42.527,0.1390921890178909,,,[]
icrs,2025-12-12 01:46:42.527,2025-12-12 01:47:17.527,0.5833333333333179,66.38297872340425 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 01:47:17.527,2025-12-12 01:47:26.046,0.14197882809078521,,,[]
icrs,2025-12-12 01:47:26.046,2025-12-12 01:48:01.046,0.5833333333333179,64.79999999999998 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:48:01.046,2025-12-12 01:48:03.994,0.04913076452089271,,,[]
icrs,2025-12-12 01:48:03.994,2025-12-12 01:48:38.994,0.5833333333333179,63.94736842105264 deg,-21.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:48:38.994,2025-12-12 01:49:19.318,0.6720591273632515,,,[]
icrs,2025-12-12 01:49:19.318,2025-12-12 01:49:54.318,0.5833333333333179,52.94117647058823 deg,-52.22222222222222 deg,{}
TransitionBlock,2025-12-12 01:49:54.318,2025-12-12 01:50:37.159,0.7140296997742013,,,[]
icrs,2025-12-12 01:50:37.159,2025-12-12 01:51:12.159,0.5833333333333179,63.11688311688312 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 01:51:12.159,2025-12-12 01:51:21.188,0.15048441140365298,,,[]
icrs,2025-12-12 01:51:21.188,2025-12-12 01:51:56.188,0.5833333333333179,66.12244897959184 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 01:51:56.188,2025-12-12 01:52:27.801,0.5268771516267812,,,[]
icrs,2025-12-12 01:52:27.801,2025-12-12 01:53:02.801,0.5833333333333179,57.735849056603776 deg,-50.0 deg,{}
TransitionBlock,2025-12-12 01:53:02.801,2025-12-12 01:53:44.724,0.698711695340517,,,[]
icrs,2025-12-12 01:53:44.724,2025-12-12 01:54:19.724,0.5833333333333179,62.30769230769231 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 01:54:19.724,2025-12-12 01:54:40.148,0.34040210594021403,,,[]
icrs,2025-12-12 01:54:40.148,2025-12-12 01:55:15.148,0.5833333333333179,67.82608695652175 deg,-32.22222222222223 deg,{}
TransitionBlock,2025-12-12 01:55:15.148,2025-12-12 01:55:35.463,0.33858850328480017,,,[]
icrs,2025-12-12 01:55:35.463,2025-12-12 01:56:10.463,0.5833333333333179,61.62162162162162 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 01:56:10.463,2025-12-12 01:56:19.976,0.15854617833703344,,,[]
icrs,2025-12-12 01:56:19.976,2025-12-12 01:56:54.976,0.5833333333333179,66.7741935483871 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 01:56:54.976,2025-12-12 01:56:57.845,0.047812699281220006,,,[]
icrs,2025-12-12 01:56:57.845,2025-12-12 01:57:32.845,0.5833333333333179,65.99999999999999 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:57:32.845,2025-12-12 01:57:57.876,0.417187577697149,,,[]
icrs,2025-12-12 01:57:57.876,2025-12-12 01:58:32.876,0.5833333333333179,67.19999999999999 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 01:58:32.876,2025-12-12 01:58:49.621,0.2790914117845311,,,[]
icrs,2025-12-12 01:58:49.621,2025-12-12 01:59:24.621,0.5833333333333179,68.70229007633588 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 01:59:24.621,2025-12-12 01:59:27.472,0.04751628763239424,,,[]
icrs,2025-12-12 01:59:27.472,2025-12-12 02:00:02.472,0.5833333333333179,69.33333333333334 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 02:00:02.472,2025-12-12 02:00:13.614,0.18569655950832598,,,[]
icrs,2025-12-12 02:00:13.614,2025-12-12 02:00:48.614,0.5833333333333179,68.57142857142857 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:00:48.614,2025-12-12 02:01:00.643,0.20047337032313095,,,[]
icrs,2025-12-12 02:01:00.643,2025-12-12 02:01:35.643,0.5833333333333179,64.61538461538461 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 02:01:35.643,2025-12-12 02:02:11.774,0.6021864553448708,,,[]
